order_id,order_date,region,product_category,units_sold,revenue,cost
1573,2023-02-27,South,Books,5,20.57,15.07
2583,2023-02-27,West,Books,12,96.89,69.22
1565,2023-02-28,South,Home & Garden,11,221.97,133.54
2053,2023-02-28,East,Apparel,1,12.63,8.87
1054,2023-03-01,North,Apparel,10,180.54,130.6
1534,2023-03-01,South,Apparel,7,136.28,77.42
1559,2023-03-01,South,Electronics,2,122.49,75.23
1529,2023-03-02,South,Apparel,3,11.31,7.9
1577,2023-03-02,South,Apparel,4,77.33,44.47
2090,2023-03-02,East,Books,6,40.85,29.61
1022,2023-03-03,North,Apparel,7,46.18,28.03
1071,2023-03-03,North,Electronics,2,94.29,57.59
1557,2023-03-03,South,Books,5,44.48,25.64
1569,2023-03-03,South,Sports,2,77.81,51.27
2076,2023-03-03,East,Apparel,4,69.01,43.92
2599,2023-03-03,West,Home & Garden,8,99.44,55.54
1066,2023-03-04,North,Sports,1,16.56,10.87
1586,2023-03-04,South,Electronics,3,178.5,98.68
1008,2023-03-05,North,Sports,11,303.4,221.35
1540,2023-03-05,South,Books,1,5.0,3.35
2097,2023-03-05,East,Books,4,39.85,22.36
2574,2023-03-05,West,Books,1,6.19,4.0
1012,2023-03-06,North,Apparel,9,143.85,101.05
1061,2023-03-06,North,Home & Garden,1,8.23,5.69
1535,2023-03-06,South,Electronics,3,216.23,126.66
1550,2023-03-06,South,Books,6,39.76,28.48
2052,2023-03-06,East,Books,8,63.87,39.37
2083,2023-03-06,East,Books,5,40.12,22.43
2073,2023-03-07,East,Electronics,12,547.48,394.43
1026,2023-03-08,North,Home & Garden,5,53.3,32.69
2049,2023-03-09,East,Books,8,24.34,17.74
2081,2023-03-09,East,Sports,9,426.18,301.45
2619,2023-03-09,West,Electronics,1,107.04,67.76
1552,2023-03-10,South,Home & Garden,8,221.16,135.59
1553,2023-03-10,South,Electronics,4,210.59,151.23
1013,2023-03-11,North,Books,1,9.59,5.73
1053,2023-03-11,North,Books,4,28.47,19.78
1015,2023-03-12,North,Apparel,5,71.04,49.2
1021,2023-03-12,North,Electronics,1,59.08,37.3
2603,2023-03-12,West,Electronics,11,758.55,471.07
2620,2023-03-12,West,Apparel,10,48.4,33.68
1032,2023-03-13,North,Electronics,2,47.4,27.47
1048,2023-03-13,North,Books,6,35.4,23.35
1561,2023-03-13,South,Books,2,12.69,7.6
1585,2023-03-14,South,Home & Garden,1,22.49,12.49
2089,2023-03-14,East,Books,2,13.44,7.95
2091,2023-03-14,East,Electronics,3,280.01,166.55
2589,2023-03-14,West,Apparel,8,134.8,93.91
2050,2023-03-15,East,Home & Garden,4,56.95,32.48
2087,2023-03-15,East,Books,4,37.05,24.29
1063,2023-03-17,North,Home & Garden,6,41.25,27.72
1073,2023-03-17,North,Sports,5,43.65,26.32
1536,2023-03-17,South,Apparel,8,74.77,42.49
2621,2023-03-18,West,Electronics,12,1391.78,861.73
1006,2023-03-19,North,Apparel,9,55.44,38.08
2576,2023-03-19,West,Books,10,61.71,38.35
2061,2023-03-20,East,Electronics,7,594.1,436.93
2093,2023-03-20,East,Books,5,38.63,23.28
1004,2023-03-21,North,Home & Garden,10,260.58,188.48
1547,2023-03-21,South,Home & Garden,3,85.34,50.91
2068,2023-03-22,East,Sports,9,105.69,68.78
2617,2023-03-22,West,Apparel,8,121.71,84.55
1583,2023-03-23,South,Books,10,51.31,33.04
1596,2023-03-23,South,Electronics,12,1076.38,764.92
2066,2023-03-23,East,Sports,7,348.84,222.27
2077,2023-03-23,East,Electronics,3,101.85,65.8
2595,2023-03-23,West,Books,2,18.28,12.85
2601,2023-03-23,West,Home & Garden,2,49.61,28.77
1532,2023-03-24,South,Electronics,9,232.57,173.68
1572,2023-03-24,South,Electronics,2,71.63,48.86
2072,2023-03-25,East,Electronics,6,427.69,285.24
1019,2023-03-26,North,Sports,6,165.59,104.41
2057,2023-03-26,East,Books,8,103.62,70.66
2095,2023-03-26,East,Electronics,4,309.39,191.56
1029,2023-03-27,North,Books,5,43.47,25.26
1041,2023-03-27,North,Home & Garden,10,245.44,154.75
2608,2023-03-27,West,Home & Garden,7,303.94,218.54
1038,2023-03-28,North,Books,6,48.09,27.49
2060,2023-03-28,East,Home & Garden,6,268.06,165.84
2588,2023-03-28,West,Books,10,45.4,29.81
1010,2023-03-29,North,Sports,10,283.81,156.75
1523,2023-03-29,South,Apparel,7,41.68,24.65
1592,2023-03-29,South,Electronics,2,183.93,113.48
2069,2023-03-29,East,Home & Garden,8,296.16,208.31
1068,2023-03-30,North,Apparel,4,42.64,24.31
1545,2023-03-30,South,Home & Garden,6,157.43,106.39
2051,2023-03-30,East,Home & Garden,8,166.11,94.49
2572,2023-03-30,West,Electronics,5,613.1,350.34
1023,2023-03-31,North,Books,11,65.68,45.95
1036,2023-03-31,North,Electronics,7,525.94,372.93
1046,2023-03-31,North,Sports,8,358.35,252.88
1060,2023-03-31,North,Home & Garden,11,353.76,220.79
2625,2023-03-31,West,Home & Garden,3,115.36,71.23
1082,2023-04-01,North,Books,8,64.17,37.91
1601,2023-04-01,South,Electronics,11,623.29,438.92
2174,2023-04-01,East,Home & Garden,2,38.36,24.94
1649,2023-04-02,South,Home & Garden,6,205.22,153.61
1662,2023-04-03,South,Sports,6,303.56,187.72
2637,2023-04-03,West,Books,5,40.64,29.17
1114,2023-04-04,North,Electronics,8,835.54,513.37
1122,2023-04-04,North,Books,11,49.75,27.42
2677,2023-04-04,West,Home & Garden,7,171.1,103.67
1606,2023-04-05,South,Apparel,1,14.58,9.58
2141,2023-04-05,East,Sports,2,89.25,49.72
2676,2023-04-05,West,Books,6,48.52,33.44
1613,2023-04-06,South,Apparel,2,28.4,15.66
1632,2023-04-06,South,Home & Garden,6,51.31,30.67
2627,2023-04-06,West,Apparel,1,8.48,4.71
1125,2023-04-07,North,Electronics,5,295.66,183.02
2123,2023-04-07,East,Books,8,55.48,34.16
1623,2023-04-08,South,Home & Garden,3,54.5,31.68
2117,2023-04-08,East,Home & Garden,5,140.33,80.25
2649,2023-04-08,West,Books,11,50.05,35.27
1599,2023-04-09,South,Sports,4,43.74,29.68
2648,2023-04-10,West,Electronics,11,446.47,279.06
2668,2023-04-10,West,Books,3,7.2,5.07
2674,2023-04-10,West,Books,2,12.14,8.76
2122,2023-04-11,East,Electronics,4,216.29,156.96
2127,2023-04-11,East,Sports,7,264.31,169.37
2164,2023-04-11,East,Electronics,7,447.35,285.19
2695,2023-04-11,West,Sports,6,38.65,26.2
1614,2023-04-12,South,Books,5,19.79,12.95
1090,2023-04-13,North,Sports,2,44.66,28.76
1100,2023-04-13,North,Electronics,5,418.46,264.93
2659,2023-04-13,West,Sports,5,174.67,114.73
2110,2023-04-14,East,Books,7,40.16,27.86
2154,2023-04-14,East,Books,7,48.77,27.15
2656,2023-04-14,West,Electronics,10,381.89,234.31
1126,2023-04-15,North,Home & Garden,11,321.14,177.12
1633,2023-04-15,South,Sports,12,165.54,102.72
1646,2023-04-15,South,Home & Garden,1,21.15,14.1
2147,2023-04-15,East,Apparel,8,134.57,96.62
2165,2023-04-15,East,Electronics,7,380.67,210.07
1656,2023-04-16,South,Home & Garden,9,124.4,85.67
2139,2023-04-16,East,Sports,7,130.89,93.03
2155,2023-04-16,East,Sports,11,451.07,311.55
2166,2023-04-16,East,Sports,5,92.96,54.21
2175,2023-04-16,East,Apparel,9,145.26,82.16
2690,2023-04-16,West,Books,9,49.29,28.39
2126,2023-04-17,East,Books,4,14.29,8.76
1629,2023-04-18,South,Sports,3,91.16,66.43
2168,2023-04-18,East,Apparel,9,122.08,67.28
1111,2023-04-19,North,Apparel,9,72.99,43.62
1115,2023-04-19,North,Electronics,3,135.11,86.57
1123,2023-04-19,North,Books,11,85.18,54.0
2660,2023-04-19,West,Sports,12,145.84,82.9
1626,2023-04-20,South,Books,1,6.14,3.86
1637,2023-04-20,South,Apparel,9,38.81,24.61
1644,2023-04-20,South,Electronics,12,907.75,636.18
2628,2023-04-20,West,Sports,2,29.15,18.11
1096,2023-04-21,North,Electronics,8,802.24,489.71
1641,2023-04-21,South,Books,5,39.07,22.4
1610,2023-04-22,South,Books,2,8.55,5.43
1640,2023-04-22,South,Home & Garden,4,123.34,71.94
2128,2023-04-22,East,Electronics,7,231.28,147.16
2136,2023-04-22,East,Home & Garden,5,149.46,107.28
2137,2023-04-22,East,Electronics,10,948.28,526.44
2682,2023-04-22,West,Sports,10,287.67,207.72
2693,2023-04-22,West,Apparel,8,111.81,77.88
1612,2023-04-23,South,Home & Garden,2,37.79,27.78
1622,2023-04-23,South,Sports,6,271.28,186.76
2663,2023-04-23,West,Books,11,66.61,43.2
1605,2023-04-25,South,Home & Garden,12,335.77,197.4
1101,2023-04-26,North,Apparel,9,114.06,84.27
2655,2023-04-26,West,Home & Garden,7,59.92,34.92
2686,2023-04-26,West,Books,12,57.64,32.72
1110,2023-04-27,North,Electronics,9,391.75,215.68
1651,2023-04-27,South,Home & Garden,8,127.49,70.29
2138,2023-04-27,East,Home & Garden,10,90.63,66.51
2644,2023-04-28,West,Electronics,9,482.58,316.43
1647,2023-04-29,South,Home & Garden,4,81.39,47.93
2140,2023-04-29,East,Electronics,6,159.25,109.5
2638,2023-04-29,West,Home & Garden,3,73.24,40.62
2680,2023-04-29,West,Apparel,9,167.3,114.79
1099,2023-04-30,North,Books,6,54.71,31.59
1117,2023-04-30,North,Sports,6,112.6,83.4
1128,2023-04-30,North,Books,9,19.13,14.05
2632,2023-04-30,West,Home & Garden,10,277.86,155.46
1628,2023-05-01,South,Electronics,1,52.11,33.4
1094,2023-05-02,North,Books,7,69.08,41.32
1598,2023-05-03,South,Apparel,2,11.2,6.56
1091,2023-05-04,North,Home & Garden,10,334.75,205.31
2654,2023-05-04,West,Electronics,4,138.69,102.09
2658,2023-05-04,West,Books,1,8.44,4.71
1634,2023-05-05,South,Books,11,75.65,48.72
2651,2023-05-05,West,Electronics,8,497.82,346.09
2669,2023-05-05,West,Apparel,7,87.29,64.05
1098,2023-05-06,North,Electronics,10,1042.45,761.6
1655,2023-05-06,South,Sports,2,54.13,40.32
2112,2023-05-06,East,Electronics,4,284.44,170.69
1077,2023-05-07,North,Sports,2,35.97,24.09
1120,2023-05-07,North,Books,5,17.79,12.79
2119,2023-05-07,East,Apparel,1,17.17,12.79
2134,2023-05-07,East,Home & Garden,7,72.47,42.91
1085,2023-05-08,North,Books,12,78.87,57.92
1102,2023-05-08,North,Home & Garden,2,65.99,41.54
2130,2023-05-08,East,Electronics,6,444.8,310.36
2146,2023-05-08,East,Electronics,4,102.76,70.13
2153,2023-05-08,East,Apparel,6,37.43,27.63
2158,2023-05-08,East,Sports,2,33.36,20.9
2167,2023-05-08,East,Books,11,40.79,30.07
2671,2023-05-08,West,Apparel,5,53.14,32.24
2687,2023-05-08,West,Sports,2,85.16,60.76
1087,2023-05-09,North,Books,10,51.37,33.84
1127,2023-05-09,North,Apparel,3,26.0,17.07
1659,2023-05-09,South,Home & Garden,11,228.25,138.38
1131,2023-05-10,North,Home & Garden,4,102.93,63.8
2157,2023-05-10,East,Home & Garden,7,95.3,61.4
2640,2023-05-10,West,Books,12,117.27,85.57
1129,2023-05-11,North,Books,7,15.27,10.85
1642,2023-05-11,South,Books,3,26.16,15.16
1648,2023-05-11,South,Books,10,78.7,49.36
2115,2023-05-11,East,Electronics,8,267.3,154.87
1112,2023-05-12,North,Electronics,3,129.38,80.53
2149,2023-05-12,East,Home & Garden,11,185.35,128.94
2681,2023-05-12,West,Apparel,9,151.91,112.98
1630,2023-05-13,South,Books,1,6.27,4.31
2667,2023-05-13,West,Books,8,21.81,16.08
2670,2023-05-13,West,Electronics,10,810.07,486.17
1124,2023-05-14,North,Apparel,6,56.2,39.39
2150,2023-05-14,East,Electronics,5,230.46,171.38
1616,2023-05-15,South,Sports,1,56.51,42.23
1657,2023-05-16,South,Apparel,1,12.2,8.99
2131,2023-05-16,East,Sports,7,273.85,190.25
2643,2023-05-16,West,Books,11,69.7,47.12
2679,2023-05-16,West,Books,5,44.11,31.23
1108,2023-05-17,North,Electronics,11,658.28,487.0
1604,2023-05-17,South,Books,6,18.37,11.51
2124,2023-05-17,East,Apparel,8,160.02,90.56
1121,2023-05-18,North,Electronics,5,362.18,245.75
2633,2023-05-18,West,Books,10,24.65,18.45
1089,2023-05-19,North,Sports,11,644.87,397.5
1097,2023-05-20,North,Sports,2,120.69,82.27
2653,2023-05-20,West,Electronics,3,223.44,153.04
2626,2023-05-21,West,Sports,7,64.4,46.32
1615,2023-05-23,South,Apparel,3,14.45,10.21
1621,2023-05-23,South,Apparel,7,34.19,22.97
2652,2023-05-23,West,Apparel,10,43.1,27.79
1107,2023-05-24,North,Electronics,8,578.88,345.72
2156,2023-05-24,East,Electronics,1,71.84,51.46
2692,2023-05-25,West,Sports,1,24.2,14.66
2694,2023-05-25,West,Home & Garden,6,89.97,51.62
1078,2023-05-26,North,Home & Garden,10,437.39,328.01
2629,2023-05-26,West,Books,9,49.93,36.47
1600,2023-05-27,South,Home & Garden,2,59.6,40.56
1620,2023-05-27,South,Books,10,81.23,46.27
1650,2023-05-27,South,Home & Garden,3,60.17,34.13
1607,2023-05-28,South,Electronics,1,51.34,33.61
1643,2023-05-28,South,Books,3,28.87,21.24
2631,2023-05-28,West,Apparel,6,68.49,38.3
2672,2023-05-28,West,Books,9,48.1,28.18
1088,2023-05-29,North,Home & Garden,4,70.1,45.19
1109,2023-05-29,North,Electronics,11,495.43,350.47
1619,2023-05-29,South,Electronics,2,145.97,106.41
1636,2023-05-29,South,Electronics,2,94.29,54.65
1135,2023-05-30,North,Sports,1,48.24,31.42
1136,2023-05-30,North,Books,9,56.98,38.23
2114,2023-05-30,East,Electronics,6,305.8,205.52
2657,2023-05-30,West,Sports,9,141.45,86.19
1618,2023-05-31,South,Sports,3,61.82,41.63
1625,2023-05-31,South,Sports,5,77.07,56.68
2688,2023-05-31,West,Books,2,18.17,13.07
1602,2023-06-01,South,Sports,7,242.65,173.15
1603,2023-06-01,South,Electronics,10,751.53,510.6
2160,2023-06-01,East,Books,2,5.0,3.61
1092,2023-06-02,North,Books,1,5.0,3.73
1653,2023-06-02,South,Electronics,5,384.22,231.51
1660,2023-06-02,South,Sports,6,188.01,124.41
2148,2023-06-02,East,Books,7,56.09,37.16
2161,2023-06-02,East,Books,4,35.16,19.75
2661,2023-06-02,West,Books,9,80.18,52.86
2662,2023-06-02,West,Books,8,56.76,40.85
2143,2023-06-03,East,Home & Garden,3,85.71,48.29
2159,2023-06-03,East,Sports,6,188.12,120.29
2162,2023-06-03,East,Home & Garden,7,62.96,34.7
2665,2023-06-03,West,Apparel,7,128.55,74.4
1137,2023-06-04,North,Apparel,1,21.02,11.73
1617,2023-06-04,South,Apparel,8,141.64,105.34
2104,2023-06-04,East,Electronics,1,50.15,36.02
2118,2023-06-04,East,Sports,2,39.58,26.85
2683,2023-06-04,West,Electronics,9,793.8,587.34
1086,2023-06-05,North,Apparel,2,43.24,26.23
1658,2023-06-05,South,Apparel,11,69.43,47.7
2121,2023-06-05,East,Books,12,84.52,63.35
2646,2023-06-05,West,Home & Garden,11,302.69,206.9
2647,2023-06-05,West,Sports,10,81.5,53.04
2691,2023-06-05,West,Books,9,46.14,32.85
2105,2023-06-06,East,Apparel,5,41.18,28.4
2111,2023-06-06,East,Home & Garden,3,97.66,67.05
2135,2023-06-06,East,Home & Garden,10,151.72,90.23
2636,2023-06-06,West,Home & Garden,3,50.25,28.67
2641,2023-06-06,West,Apparel,11,223.01,165.47
2145,2023-06-07,East,Apparel,5,97.02,63.91
1106,2023-06-08,North,Apparel,7,130.21,75.64
1635,2023-06-08,South,Books,5,57.02,33.51
1076,2023-06-09,North,Apparel,11,104.95,75.02
2673,2023-06-09,West,Sports,8,288.73,174.68
2678,2023-06-09,West,Apparel,12,134.16,79.05
1083,2023-06-10,North,Apparel,5,82.48,47.98
1084,2023-06-10,North,Electronics,9,525.67,305.31
2152,2023-06-10,East,Electronics,11,238.53,165.44
1103,2023-06-11,North,Home & Garden,2,50.15,33.45
1119,2023-06-11,North,Books,6,38.6,21.63
2125,2023-06-11,East,Books,2,10.22,7.31
2144,2023-06-11,East,Books,4,24.27,15.04
2170,2023-06-11,East,Apparel,6,121.67,74.36
2639,2023-06-11,West,Sports,3,145.09,101.54
2684,2023-06-11,West,Home & Garden,1,25.92,15.85
2172,2023-06-12,East,Electronics,3,241.46,146.19
1645,2023-06-13,South,Apparel,10,188.84,129.47
2645,2023-06-13,West,Home & Garden,2,30.07,18.41
2675,2023-06-13,West,Sports,9,89.4,66.95
1095,2023-06-14,North,Apparel,4,40.53,27.78
2634,2023-06-14,West,Apparel,7,122.69,76.7
1113,2023-06-15,North,Electronics,8,515.91,331.01
2109,2023-06-15,East,Apparel,1,19.32,10.85
2132,2023-06-15,East,Books,2,9.96,5.83
2133,2023-06-15,East,Home & Garden,2,12.32,9.06
1116,2023-06-17,North,Sports,2,104.92,66.73
2107,2023-06-18,East,Sports,8,118.39,77.72
2151,2023-06-18,East,Home & Garden,3,84.79,62.1
2173,2023-06-18,East,Sports,4,30.46,17.76
1130,2023-06-19,North,Sports,12,204.81,128.86
1609,2023-06-19,South,Electronics,4,344.83,221.12
1631,2023-06-19,South,Home & Garden,12,416.76,268.01
2116,2023-06-19,East,Electronics,4,94.08,65.24
2120,2023-06-19,East,Electronics,3,126.76,77.66
2171,2023-06-19,East,Sports,5,135.48,79.35
2630,2023-06-19,West,Apparel,9,84.91,60.18
2685,2023-06-19,West,Electronics,11,1046.37,609.99
1133,2023-06-20,North,Sports,8,412.06,278.1
1134,2023-06-20,North,Home & Garden,3,77.73,43.9
2650,2023-06-20,West,Books,4,9.32,6.31
1080,2023-06-21,North,Sports,2,20.08,13.03
1093,2023-06-21,North,Electronics,8,271.11,172.46
1104,2023-06-21,North,Home & Garden,2,55.18,37.5
1105,2023-06-21,North,Sports,12,605.33,344.7
1624,2023-06-21,South,Books,3,21.38,12.68
1652,2023-06-21,South,Home & Garden,7,187.98,114.27
1654,2023-06-21,South,Sports,2,52.17,29.94
2142,2023-06-21,East,Electronics,4,103.67,73.89
1132,2023-06-22,North,Apparel,4,31.71,23.47
1638,2023-06-22,South,Electronics,5,173.83,115.73
1639,2023-06-23,South,Home & Garden,8,239.76,169.72
2106,2023-06-23,East,Sports,2,67.08,37.7
2113,2023-06-23,East,Books,1,5.0,3.19
1081,2023-06-24,North,Sports,9,108.39,77.5
2108,2023-06-24,East,Home & Garden,1,6.16,4.51
2635,2023-06-24,West,Home & Garden,9,293.95,166.94
2642,2023-06-24,West,Electronics,3,302.97,191.25
2666,2023-06-24,West,Apparel,3,34.69,21.62
1079,2023-06-26,North,Home & Garden,10,194.99,130.07
1608,2023-06-26,South,Books,3,15.8,11.56
